SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20230215|C00948114|AGRIW|1428|AGRIFORCE GROWING SYS LTD WT S|0.09
20230215|C96657116|VMAR|424|VISION MARINE TECHNOLOGIES INC|4.24
20230215|D1668R123|MBGAF|391|MERCEDES BENZ GROUP AG COMMON |77.32
20230215|D18190898|DB|20582|DEUTSCHE BANK AG NAMEN AKT (DE|12.40
20230215|G0132V105|AGMH|479|AGM GROUP HLDGS INC USD CL A O|1.65
20230215|G0176J109|ALLE|99|ALLEGION PUB LTD CO (IRL)|119.86
20230215|G0223V121|ATMCW|3517|ALPHATIME ACQUISITION CORP RED|0.04
20230215|G0230C116|ALSAW|1291|ALPHA STAR ACQUISITION CORP US|0.02
20230215|G0230C132|ALSAR|1633|ALPHA STAR ACQUISITION CORP US|0.12
20230215|G02602103|DOX|2003|AMDOCS LTD ORD|95.73
20230215|G0369L101|ANGH|1704|ANGHAMI INC SHS (CYM)|2.20
20230215|G0369L119|ANGHW|101|ANGHAMI INC WT EXP (CYM)|0.09
20230215|G0370U116|ATAQF|6956|ALTIMAR ACQUISITION CORP III W|0.01
20230215|G04058106|APCA|300|AP ACQUISITION CORP CL A ORD S|10.46
20230215|G05384154|AHLPRC|2018|ASPEN INSURANCE HLDGS LTD FXD/|24.79
20230215|G0542S106|ASCA|12600|A SPAC I ACQUISITION CORP. USD|10.26
20230215|G0542S114|ASCAR|100|A SPAC I ACQUISITION CORP. USD|0.12
20230215|G0543H125|ASCBU|5|A SPAC II ACQ.CORP UNIT 1 CL A|10.27
20230215|G0567U101|ARQQ|42156|ARQIT QUANTUM INC COM (CYM)|2.56
20230215|G0602B209|ATIF|77|ATIF HLDGS LTD USD ORD SHS NEW|2.26
20230215|G0692U109|AXS|1438|AXIS CAPITAL HOLDINGS LTD|62.54
20230215|G06984127|ATAKW|3000|AURORA TECHNOLOGY ACQUISITION |0.02
20230215|G0703K108|AXAC|2132|AXIOS SUSTAINABLE GROWTH ACQUI|10.35
20230215|G07031209|BBLN|262|BABYLON HLDGS LTD CL A|11.54
20230215|G0704V103|RTC|1045|BAIJIAYUN GROUP LTD SHS CL A U|9.56
20230215|G0750C108|AXTA|2066|AXALTA COATING SYS LTD COM SHS|29.43
20230215|G0772R208|NTB|1|BANK OF NT BUTTERFIELD & SON|37.74
20230215|G0888J124|BFACWS|631|BATTERY FUTURE ACQUISITION COR|0.11
20230215|G1R25Q113|BYTSW|85|BYTE ACQUISITION CORP RED WT E|0.06
20230215|G1110E107|BHVN|528|BIOHAVEN RESH LTD. USD COM SHS|18.03
20230215|G1117K114|BIOX|722|BIOCERES CROP SOLUTIONS CORP. |11.66
20230215|G11217125|BIOSW|302|BIOPLUS ACQUISITION CORP WT EX|0.08
20230215|G1144A105|BTBT|45|BIT DIGITAL, INC. ORDINARY SHA|1.37
20230215|G1151C101|ACN|117140|ACCENTURE PLC CL-A ORDINARY SH|284.77
20230215|G11537100|BSAQ|818|BLACK SPADE ACQUISITION CO COM|10.13
20230215|G11537118|BSAQWS|2496|BLACK SPADE ACQUISITION CO WT |0.08
20230215|G11765115|BCSAW|1|BLOCKCHAIN COINVESTORS ACQ.COR|0.08
20230215|G1261Q107|BLUA|1879|BLUERIVER ACQUISITION CORP CL |10.09
20230215|G1330M111|BWCAU|9077|BLUE WHALE ACQUISITION CORP I |10.00
20230215|G13311108|BREA|12644|BRERA HLDGS PLC|3.35
20230215|G1355U113|BTWN|221|BRIDGETOWN HLDGS LTD CL A SHS |10.03
20230215|G14492105|BON|1000|BON NAT LIFE LTD USD ORD SHS (|1.24
20230215|G16234109|BBU|303|BROOKFIELD BUSINESS PARTNERS L|18.78
20230215|G1624R107|BPYPM|760|BROOKFIELD PPTY PFD LP UNIT LT|19.23
20230215|G16249156|BPYPO|1835|BROOKFIELD PPTY PART P|19.85
20230215|G16249164|BPYPN|770|BROOKFIELD PPTY PARTNERS L P C|18.40
20230215|G16250105|BNRE|1277|BROOKFIELD REINS LTD CL A EXCH|36.57
20230215|G16252101|BIP|2900|BROOKFIELD INFRASTRUCTURE PART|34.97
20230215|G16252267|BIPPRA|168|BROOKFIELD INFRASTRUCTURE PART|19.80
20230215|G16258108|BEP|150|BROOKFIELD RENEWABLE PARTNERS |27.72
